date,datetime,year,month,text,full_text,source,ticker,dataset
2025-12-24,2025-12-24 15:30:34,2025,12,Amazon faces 'leader's dilemma' — fight AI shopping bots or join them Agents like OpenAI's Instant Checkout and Perplexity's Instant Buy threaten to reshape the e-commerce landscape.,Amazon faces 'leader's dilemma' — fight AI shopping bots or join them Agents like OpenAI's Instant Checkout and Perplexity's Instant Buy threaten to reshape the e-commerce landscape.,CNBC Top Stories,,rss
2025-12-24,2025-12-24 08:38:34,2025,12,Oil giant BP to sell 65% stake in $10 billion Castrol unit The oil giant is looking to divest $20 billion of its assets by the end of 2027.,Oil giant BP to sell 65% stake in $10 billion Castrol unit The oil giant is looking to divest $20 billion of its assets by the end of 2027.,CNBC Top Stories,,rss
2025-12-24,2025-12-24 16:53:21,2025,12,Free streaming service Tubi is rivaling major players for viewership. Here's how it's winning Fox's Tubi outpaced Peacock and HBO Max for share of streaming minutes in Nielsen's November Gauge report.,Free streaming service Tubi is rivaling major players for viewership. Here's how it's winning Fox's Tubi outpaced Peacock and HBO Max for share of streaming minutes in Nielsen's November Gauge report.,CNBC Top Stories,,rss
2025-12-24,2025-12-24 13:40:01,2025,12,Affordability is a buzzword right now — these charts show why Affordability is top of mind for consumers and politicians as prices for household staples have risen sharply in recent years.,Affordability is a buzzword right now — these charts show why Affordability is top of mind for consumers and politicians as prices for household staples have risen sharply in recent years.,CNBC Top Stories,,rss
2025-12-24,2025-12-24 18:45:45,2025,12,"These 5 infrastructure stocks have more than tripled this year on the AI trade While Nvidia has been the biggest infrastructure winner during the AI boom, other data center stocks have performed better this year.","These 5 infrastructure stocks have more than tripled this year on the AI trade While Nvidia has been the biggest infrastructure winner during the AI boom, other data center stocks have performed better this year.",CNBC Top Stories,,rss
2025-12-24,2025-12-24 21:28:47,2025,12,DOJ says more than 1 million potential Epstein files newly uncovered A bipartisan group of Senators on Wednesday said the Trump administration violated the law by failing to release the records in full last week.,DOJ says more than 1 million potential Epstein files newly uncovered A bipartisan group of Senators on Wednesday said the Trump administration violated the law by failing to release the records in full last week.,CNBC Top Stories,,rss
2025-12-25,2025-12-25 17:24:51,2025,12,"Most people think these are 5 signs of chemistry—but they're actually 'red flags,' says psychology expert Clinical psychologist Dr. Amy Tran shares her best advice for how to spot red flags that often masquerade as romantic chemistry.","Most people think these are 5 signs of chemistry—but they're actually 'red flags,' says psychology expert Clinical psychologist Dr. Amy Tran shares her best advice for how to spot red flags that often masquerade as romantic chemistry.",CNBC Top Stories,,rss
2025-12-25,2025-12-25 22:46:35,2025,12,S&amp;P 500 Wavers at End of Its Best Week in a Month: Markets Wrap The post-Christmas session on Wall Street saw stocks fluctuating near their all-time highs as recent signs of economic resilience reinforced positive expectations for corporate profits.,S&amp;P 500 Wavers at End of Its Best Week in a Month: Markets Wrap The post-Christmas session on Wall Street saw stocks fluctuating near their all-time highs as recent signs of economic resilience reinforced positive expectations for corporate profits.,Bloomberg,,rss
2025-12-25,2025-12-25 23:29:08,2025,12,Oil Dips in Thin Post-Christmas Trade Amid Ukraine Talk Progress Oil slumped in muted post-Christmas trading as investors assessed a fresh development in long-stalled Ukraine peace talks which could lead to a deal that allows more Russian oil into global markets grappling with oversupply.,Oil Dips in Thin Post-Christmas Trade Amid Ukraine Talk Progress Oil slumped in muted post-Christmas trading as investors assessed a fresh development in long-stalled Ukraine peace talks which could lead to a deal that allows more Russian oil into global markets grappling with oversupply.,Bloomberg,,rss
2025-12-25,2025-12-25 21:34:07,2025,12,"Waymo pauses robotaxis in SF again due to flash flood warnings on Christmas Day Waymo again paused it robotaxi service, citing a flash flood warning on Christmas Day.","Waymo pauses robotaxis in SF again due to flash flood warnings on Christmas Day Waymo again paused it robotaxi service, citing a flash flood warning on Christmas Day.",CNBC Top Stories,,rss
