Model,rmse,mae,mape,r2
sklearn-Linear,0.42653994257698336,0.29733115062929627,0.20937680469652808,0.9999470232980588
Ensemble,54.27764604216618,46.309217290866385,29.897264676955743,0.14215758686453028
SimpleNet,58.6026489273033,47.119858091416866,46.25211228792636,0.0
Attention-LSTM,128.66416252062155,115.90412101790564,71.55055142922383,-3.820373614628487
TCN,140.35051185198387,128.81125649748373,82.08426594079509,-4.7357934964958766
GRU,140.72178875574662,128.13296930243425,80.60359886872615,-4.766180053023432
Transformer-Full,143.3661929632808,131.02808031336167,82.97972409254155,-4.984929118548118
LSTM,144.9580825622233,132.8450101926598,84.51259844486187,-5.118576255692455
CNN-LSTM,145.16056129562912,132.86609404074423,84.36091719634341,-5.13568115648806
BiLSTM,145.93474615079992,133.27985483601154,84.3080513134798,-5.201302539828736
Transformer-Small,147.8662009691254,135.14762570876266,85.63203591056883,-5.3665379985203305
